Date,Total Energy Use from Electricity (MW)
01-Jan-03,14745
01-Jan-03,14280
01-Jan-03,13821
01-Jan-03,13239
01-Jan-03,13236
01-Jan-03,13504
01-Jan-03,13814
01-Jan-03,13544
01-Jan-03,13837
01-Jan-03,14623
01-Jan-03,15319
01-Jan-03,15886
01-Jan-03,16222
01-Jan-03,16161
01-Jan-03,16094
01-Jan-03,16374
01-Jan-03,17097
01-Jan-03,18594
01-Jan-03,18496
01-Jan-03,18333
01-Jan-03,18100
01-Jan-03,17665
01-Jan-03,16921
01-Jan-03,15848
02-Jan-03,15306
02-Jan-03,15034
02-Jan-03,14810
02-Jan-03,14837
02-Jan-03,14966
02-Jan-03,15590
02-Jan-03,16648
02-Jan-03,18082
02-Jan-03,19014
02-Jan-03,19601
02-Jan-03,19988
02-Jan-03,20190
02-Jan-03,20210
02-Jan-03,20112
02-Jan-03,19982
02-Jan-03,20078
02-Jan-03,20871
02-Jan-03,22092
02-Jan-03,21872
02-Jan-03,21519
02-Jan-03,21049
02-Jan-03,20320
02-Jan-03,19170
02-Jan-03,17841
03-Jan-03,17139
03-Jan-03,16671
03-Jan-03,16303
03-Jan-03,15997
03-Jan-03,16073
03-Jan-03,16569
03-Jan-03,17388
03-Jan-03,18639
03-Jan-03,19366
03-Jan-03,20001
03-Jan-03,20362
03-Jan-03,20644
03-Jan-03,20408
03-Jan-03,20259
03-Jan-03,20044
03-Jan-03,19827
03-Jan-03,20292
03-Jan-03,21511
03-Jan-03,21424
03-Jan-03,20772
03-Jan-03,20209
03-Jan-03,19534
03-Jan-03,18463
03-Jan-03,17351
04-Jan-03,16230
04-Jan-03,15611
04-Jan-03,15185
04-Jan-03,15179
04-Jan-03,15198
04-Jan-03,15294
04-Jan-03,15702
04-Jan-03,16365
04-Jan-03,17004
04-Jan-03,17788
04-Jan-03,18137
04-Jan-03,18233
04-Jan-03,17959
04-Jan-03,17789
04-Jan-03,17768
04-Jan-03,17829
04-Jan-03,18599
04-Jan-03,19891
04-Jan-03,19865
04-Jan-03,19276
04-Jan-03,18823
04-Jan-03,18348
04-Jan-03,17659
04-Jan-03,16742
05-Jan-03,15653
05-Jan-03,15075
05-Jan-03,14732
05-Jan-03,14545
05-Jan-03,14580
05-Jan-03,14761
05-Jan-03,15061
05-Jan-03,15521
05-Jan-03,16228
05-Jan-03,16921
05-Jan-03,17346
05-Jan-03,17624
05-Jan-03,17788
05-Jan-03,17665
05-Jan-03,17569
05-Jan-03,17703
05-Jan-03,18620
05-Jan-03,20014
05-Jan-03,19998
05-Jan-03,19639
05-Jan-03,19151
05-Jan-03,18537
05-Jan-03,17600
05-Jan-03,16548
06-Jan-03,15743
06-Jan-03,15319
